"Period","x","y","Bearing","Distance_km"
"2010-2015",-86.4486077992507,40.0774830014725,316.355757414736,42.6216437404823
"2010-2015",-86.4483383046654,40.0774830014725,316.381904128971,42.6080801545863
"2010-2015",-86.4795996765528,40.0718236151826,312.967890037126,43.7464895943882
"2010-2015",-86.4804081603085,40.0715541205974,312.871767698255,43.7672754907766
"2010-2015",-86.4801386657233,40.0715541205974,312.895332147764,43.7526413995176
"2010-2015",-86.4795996765528,40.0715541205974,312.942523708139,43.7233947639463
"2010-2015",-86.4424094237902,40.0715541205974,316.409557566841,41.7781248642328
"2010-2015",-86.442139929205,40.0715541205974,316.436263115827,41.7645770110532
"2010-2015",-86.4424094237902,40.0712846260121,316.384134140155,41.7539549535843
"2010-2015",-86.442139929205,40.0712846260121,316.410840856706,41.7403992019452
"2010-2015",-86.4572316259782,40.063199788455,314.17700190211,41.8036359511745
"2010-2015",-86.456962131393,40.063199788455,314.202424671923,41.7893994653256
"2010-2015",-86.4572316259782,40.0629302938698,314.150838428793,41.7801501087442
"2010-2015",-86.456962131393,40.0629302938698,314.176260531113,41.765905561182
"2010-2015",-86.4626215176829,40.0588878750913,313.252308583627,41.7178107229162
"2010-2015",-86.4623520230977,40.0588878750913,313.277252002136,41.7032906816137
"2010-2015",-86.4620825285125,40.0583488859208,313.24916423941,41.6423774380813
"2010-2015",-86.4618130339272,40.0583488859208,313.2741510844,41.6278563521231
"2010-2015",-86.461543539342,40.0583488859208,313.299161098638,41.6133428943061
"2010-2015",-86.4623520230977,40.0580793913356,313.197640133996,41.6337268494754
"2010-2015",-86.4620825285125,40.0580793913356,313.22260239527,41.6191899943848
"2010-2015",-86.4618130339272,40.0580793913356,313.247587821966,41.6046607580629
"2010-2015",-86.461543539342,40.0580793913356,313.272596436831,41.5901391484947
"2010-2015",-86.4623520230977,40.0578098967503,313.171056584331,41.6105562233406
"2010-2015",-86.4620825285125,40.0578098967503,313.196017385709,41.596011213228
"2010-2015",-86.4618130339272,40.0578098967503,313.221001371366,41.5814738204792
"2010-2015",-86.461543539342,40.0578098967503,313.246008564102,41.5669440530868
"2010-2015",-86.4623520230977,40.0575404021651,313.144449873184,41.587394280289
"2010-2015",-86.4620825285125,40.0575404021651,313.169409191872,41.5728411091026
"2010-2015",-86.4623520230977,40.0572709075799,313.117819981763,41.5642410348356
"2010-2015",-86.4903794599622,40.0518810158751,310.112609951895,42.6743966221641
"2010-2015",-86.490109965377,40.0518810158751,310.135207773132,42.6589250456165
"2010-2015",-86.4898404707917,40.0518810158751,310.157826756187,42.6434602455837
"2010-2015",-86.4909184491327,40.0516115212899,310.040663224452,42.683261288688
"2010-2015",-86.4906489545475,40.0516115212899,310.063215117085,42.6677680998966
"2010-2015",-86.4903794599622,40.0516115212899,310.085788139431,42.6522816705793
"2010-2015",-86.490109965377,40.0516115212899,310.108382314181,42.6368020081029
"2010-2015",-86.4898404707917,40.0516115212899,310.130997664047,42.6213291198372
"2010-2015",-86.4909184491327,40.0513420267047,310.013827637634,42.6611721039042
"2010-2015",-86.4906489545475,40.0513420267047,310.036375834648,42.6456708289217
"2010-2015",-86.4903794599622,40.0513420267047,310.058945174564,42.630176311088
"2010-2015",-86.490109965377,40.0513420267047,310.081535680119,42.614688557775
"2010-2015",-86.4898404707917,40.0513420267047,310.104147374069,42.5992075763582
"2010-2015",-86.4909184491327,40.0510725321194,309.986970930637,42.6390925359198
"2010-2015",-86.4906489545475,40.0510725321194,310.009515409311,42.6235831698628
"2010-2015",-86.4857980520132,40.0486470808523,310.175658063178,42.1459045790477
"2010-2015",-86.485528557428,40.0486470808523,310.1985762334,42.130451383646
"2010-2015",-86.4857980520132,40.0483775862671,310.148516690422,42.1237669378665
"2010-2015",-86.485528557428,40.0483775862671,310.171431167589,42.108305557222
"2010-2015",-86.4960388462522,40.0456826404147,309.022578966854,42.4985800730025
"2010-2015",-86.4957693516669,40.0456826404147,309.044641812688,42.4827818642721
"2010-2015",-86.4954998570817,40.0456826404147,309.06672562773,42.4669902208346
"2010-2015",-86.4952303624965,40.0456826404147,309.088830435316,42.451205150018
"2010-2015",-86.4949608679112,40.0456826404147,309.110956258802,42.4354266591556
"2010-2015",-86.494691373326,40.0456826404147,309.133103121569,42.4196547555901
"2010-2015",-86.4944218787408,40.0456826404147,309.155271047011,42.4038894466722
"2010-2015",-86.4960388462522,40.0454131458295,308.995358016327,42.4768611184388
"2010-2015",-86.4957693516669,40.0454131458295,309.017416421524,42.4610547665025
"2010-2015",-86.4954998570817,40.0454131458295,309.039495807873,42.4452549772068
"2010-2015",-86.4952303624965,40.0454131458295,309.061596198756,42.429461757884
"2010-2015",-86.4949608679112,40.0454131458295,309.083717617573,42.4136751158727
"2010-2015",-86.494691373326,40.0454131458295,309.105860087749,42.3978950585192
"2010-2015",-86.4944218787408,40.0454131458295,309.128023632721,42.3821215931799
"2010-2015",-86.4960388462522,40.0451436512442,308.968116108013,42.4551522043651
"2010-2015",-86.4957693516669,40.0451436512442,308.990170049209,42.4393377046284
"2010-2015",-86.4954998570817,40.0451436512442,309.012244983484,42.423529764869
"2010-2015",-86.4952303624965,40.0451436512442,309.034340934263,42.4077283924238
"2010-2015",-86.4949608679112,40.0451436512442,309.05645792499,42.3919335946362
"2010-2015",-86.494691373326,40.0451436512442,309.078595979134,42.3761453788571
"2010-2015",-86.4944218787408,40.0451436512442,309.100755120177,42.3603637524468
"2010-2015",-85.746304910126,40.0451436512442,55.7726527524598,46.4274578984392
"2010-2015",-85.7460354155408,40.0451436512442,55.790278518268,46.4446583569472
"2010-2015",-86.4960388462522,40.044874156659,308.940853230031,42.4334533461916
"2010-2015",-86.4957693516669,40.044874156659,308.962902683821,42.4176306940642
"2010-2015",-86.4954998570817,40.044874156659,308.984973142595,42.4018145992398
"2010-2015",-86.4952303624965,40.044874156659,309.007064629824,42.3860050690605
"2010-2015",-86.4949608679112,40.044874156659,309.029177168995,42.3702021108736
"2010-2015",-86.494691373326,40.044874156659,309.051310783622,42.3544057320351
"2010-2015",-86.4944218787408,40.044874156659,309.073465497233,42.33861593991
"2010-2015",-85.746304910126,40.044874156659,55.7985813702276,46.4076314213059
"2010-2015",-85.7460354155408,40.044874156659,55.8162008253935,46.4248392934287
"2010-2015",-86.4960388462522,40.0446046620738,308.913569370519,42.4117645593529
"2010-2015",-86.4957693516669,40.0446046620738,308.935614313452,42.3959337502487
"2010-2015",-86.4954998570817,40.0446046620738,308.957680273255,42.3801094957634
"2010-2015",-86.4952303624965,40.0446046620738,308.979767273443,42.3642918032424
"2010-2015",-86.4949608679112,40.0446046620738,309.001875337549,42.348480680038
"2010-2015",-86.494691373326,40.0446046620738,309.02400448913,42.3326761335109
"2010-2015",-86.4944218787408,40.0446046620738,309.046154751758,42.3168781710306
"2010-2015",-85.7834951628886,40.0446046620738,53.232446628166,44.0626409707211
"2010-2015",-85.7832256683033,40.0446046620738,53.2524455241796,44.0791100956975
"2010-2015",-85.7829561737181,40.0446046620738,53.2724257398241,44.0955850527137
"2010-2015",-85.7826866791329,40.0446046620738,53.2923872964078,44.112065835236
"2010-2015",-86.4960388462522,40.0443351674885,308.886264517635,42.3900858593071
"2010-2015",-86.4957693516669,40.0443351674885,308.908304926215,42.3742468886455
